प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	सेटिंग	कंट्रोल	लिए	साधारण	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	कंट्रोल	के	साधारण	बटन्स	0
साधारण	0	6	स	सा	साध	ण	रण	ारण	0	स	ा	ध	ा	र	सा	ाध	धा	ार	रण	साध	ाधा	धार	ारण	रण_	साधा	ाधार	धारण	ारण_	रण__	साधार	ाधारण	धारण_	ारण__	रण___	के	लिए	बटन्स	के	0
बटन्स	0	5	ब	बट	बटन	स	्स	न्स	0	ब	ट	न	्	स	बट	टन	न्	्स	स_	बटन	टन्	न्स	्स_	स__	बटन्	टन्स	न्स_	्स__	स___	बटन्स	टन्स_	न्स__	्स___	स____	लिए	साधारण	के	साथ	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	साधारण	बटन्स	साथ	फोर-वे	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	बटन्स	के	फोर-वे	पैड	0
फोर-वे	0	6	फ	फो	फोर	े	वे	-वे	0	फ	ो	र	-	व	फो	ोर	र-	-व	वे	फोर	ोर-	र-व	-वे	वे_	फोर-	ोर-व	र-वे	-वे_	वे__	फोर-व	ोर-वे	र-वे_	-वे__	वे___	के	साथ	पैड	दिया	B_ASP
पैड	0	3	प	पै	पैड	ड	ैड	पैड	0	प	ै	ड	_	_	पै	ैड	ड_	__	__	पैड	ैड_	ड__	___	___	पैड_	ैड__	ड___	____	____	पैड__	ैड___	ड____	_____	_____	साथ	फोर-वे	दिया	गया	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	फोर-वे	पैड	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	पैड	दिया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
रबर	0	3	र	रब	रबर	र	बर	रबर	0	र	ब	र	_	_	रब	बर	र_	__	__	रबर	बर_	र__	___	___	रबर_	बर__	र___	____	____	रबर__	बर___	र____	_____	_____	NULL	NULL	आईकैप	के	B_ASP
आईकैप	0	5	आ	आई	आईक	प	ैप	कैप	0	आ	ई	क	ै	प	आई	ईक	कै	ैप	प_	आईक	ईकै	कैप	ैप_	प__	आईकै	ईकैप	कैप_	ैप__	प___	आईकैप	ईकैप_	कैप__	ैप___	प____	NULL	रबर	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	रबर	आईकैप	साथ	व्यू	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	आईकैप	के	व्यू	फाइंडर	0
व्यू	0	4	व	व्	व्य	ू	यू	्यू	1	व	्	य	ू	_	व्	्य	यू	ू_	__	व्य	्यू	यू_	ू__	___	व्यू	्यू_	यू__	ू___	____	व्यू_	्यू__	यू___	ू____	_____	के	साथ	फाइंडर	बेहद	B_ASP
फाइंडर	0	6	फ	फा	फाइ	र	डर	ंडर	1	फ	ा	इ	ं	ड	फा	ाइ	इं	ंड	डर	फाइ	ाइं	इंड	ंडर	डर_	फाइं	ाइंड	इंडर	ंडर_	डर__	फाइंड	ाइंडर	इंडर_	ंडर__	डर___	साथ	व्यू	बेहद	आरामदायक	I_ASP
बेहद	0	4	ब	बे	बेह	द	हद	ेहद	0	ब	े	ह	द	_	बे	ेह	हद	द_	__	बेह	ेहद	हद_	द__	___	बेहद	ेहद_	हद__	द___	____	बेहद_	ेहद__	हद___	द____	_____	व्यू	फाइंडर	आरामदायक	बनाया	0
आरामदायक	0	8	आ	आर	आरा	क	यक	ायक	0	आ	र	ा	म	द	आर	रा	ाम	मद	दा	आरा	राम	ामद	मदा	दाय	आराम	रामद	ामदा	मदाय	दायक	आरामद	रामदा	ामदाय	मदायक	दायक_	फाइंडर	बेहद	बनाया	गया	0
बनाया	0	5	ब	बन	बना	ा	या	ाया	0	ब	न	ा	य	ा	बन	ना	ाय	या	ा_	बना	नाय	ाया	या_	ा__	बनाय	नाया	ाया_	या__	ा___	बनाया	नाया_	ाया__	या___	ा____	बेहद	आरामदायक	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	आरामदायक	बनाया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बनाया	गया	NULL	NULL	0
EOL
शौकिया	0	6	श	शौ	शौक	ा	या	िया	0	श	ौ	क	ि	य	शौ	ौक	कि	िय	या	शौक	ौकि	किय	िया	या_	शौकि	ौकिय	किया	िया_	या__	शौकिय	ौकिया	किया_	िया__	या___	NULL	NULL	फोटोग्राफी	करने	0
फोटोग्राफी	0	10	फ	फो	फोट	ी	फी	ाफी	1	फ	ो	ट	ो	ग	फो	ोट	टो	ोग	ग्	फोट	ोटो	टोग	ोग्	ग्र	फोटो	ोटोग	टोग्	ोग्र	ग्रा	फोटोग	ोटोग्	टोग्र	ोग्रा	ग्राफ	NULL	शौकिया	करने	वालों	0
करने	1	4	क	कर	करन	े	ने	रने	0	क	र	न	े	_	कर	रन	ने	े_	__	करन	रने	ने_	े__	___	करने	रने_	ने__	े___	____	करने_	रने__	ने___	े____	_____	शौकिया	फोटोग्राफी	वालों	के	0
वालों	0	5	व	वा	वाल	ं	ों	लों	0	व	ा	ल	ो	ं	वा	ाल	लो	ों	ं_	वाल	ालो	लों	ों_	ं__	वालो	ालों	लों_	ों__	ं___	वालों	ालों_	लों__	ों___	ं____	फोटोग्राफी	करने	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	करने	वालों	लिए	इसमें	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	वालों	के	इसमें	कुछ	0
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	के	लिए	कुछ	प्री-सेट्स	0
कुछ	1	3	क	कु	कुछ	छ	ुछ	कुछ	0	क	ु	छ	_	_	कु	ुछ	छ_	__	__	कुछ	ुछ_	छ__	___	___	कुछ_	ुछ__	छ___	____	____	कुछ__	ुछ___	छ____	_____	_____	लिए	इसमें	प्री-सेट्स	फिल्टर्स	0
प्री-सेट्स	0	10	प	प्	प्र	स	्स	ट्स	0	प	्	र	ी	-	प्	्र	री	ी-	-स	प्र	्री	री-	ी-स	-से	प्री	्री-	री-स	ी-से	-सेट	प्री-	्री-स	री-से	ी-सेट	-सेट्	इसमें	कुछ	फिल्टर्स	और	B_ASP
फिल्टर्स	0	8	फ	फि	फिल	स	्स	र्स	0	फ	ि	ल	्	ट	फि	िल	ल्	्ट	टर	फिल	िल्	ल्ट	्टर	टर्	फिल्	िल्ट	ल्टर	्टर्	टर्स	फिल्ट	िल्टर	ल्टर्	्टर्स	टर्स_	कुछ	प्री-सेट्स	और	कलर	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	प्री-सेट्स	फिल्टर्स	कलर	मोड्स	0
कलर	0	3	क	कल	कलर	र	लर	कलर	0	क	ल	र	_	_	कल	लर	र_	__	__	कलर	लर_	र__	___	___	कलर_	लर__	र___	____	____	कलर__	लर___	र____	_____	_____	फिल्टर्स	और	मोड्स	भी	B_ASP
मोड्स	0	5	म	मो	मोड	स	्स	ड्स	0	म	ो	ड	्	स	मो	ोड	ड्	्स	स_	मोड	ोड्	ड्स	्स_	स__	मोड्	ोड्स	ड्स_	्स__	स___	मोड्स	ोड्स_	ड्स__	्स___	स____	और	कलर	भी	हैं	I_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	कलर	मोड्स	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	मोड्स	भी	NULL	NULL	0
EOL
मजबूत	0	5	म	मज	मजब	त	ूत	बूत	0	म	ज	ब	ू	त	मज	जब	बू	ूत	त_	मजब	जबू	बूत	ूत_	त__	मजबू	जबूत	बूत_	ूत__	त___	मजबूत	जबूत_	बूत__	ूत___	त____	NULL	NULL	बनावट	और	0
बनावट	0	5	ब	बन	बना	ट	वट	ावट	1	ब	न	ा	व	ट	बन	ना	ाव	वट	ट_	बना	नाव	ावट	वट_	ट__	बनाव	नावट	ावट_	वट__	ट___	बनावट	नावट_	ावट__	वट___	ट____	NULL	मजबूत	और	डिजाइन	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	मजबूत	बनावट	डिजाइन	100-51200	0
डिजाइन	0	6	ड	डि	डिज	न	इन	ाइन	1	ड	ि	ज	ा	इ	डि	िज	जा	ाइ	इन	डिज	िजा	जाइ	ाइन	इन_	डिजा	िजाइ	जाइन	ाइन_	इन__	डिजाइ	िजाइन	जाइन_	ाइन__	इन___	बनावट	और	100-51200	के	B_ASP
100-51200	0	9	1	10	100	0	00	200	0	1	0	0	-	5	10	00	0-	-5	51	100	00-	0-5	-51	512	100-	00-5	0-51	-512	5120	100-5	00-51	0-512	-5120	51200	और	डिजाइन	के	साथ	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	डिजाइन	100-51200	साथ	आइएसओ	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	100-51200	के	आइएसओ	का	0
आइएसओ	0	5	आ	आइ	आइए	ओ	सओ	एसओ	0	आ	इ	ए	स	ओ	आइ	इए	एस	सओ	ओ_	आइए	इएस	एसओ	सओ_	ओ__	आइएस	इएसओ	एसओ_	सओ__	ओ___	आइएसओ	इएसओ_	एसओ__	सओ___	ओ____	के	साथ	का	बड़ा	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	साथ	आइएसओ	बड़ा	रेंज	0
बड़ा	0	3	ब	बड़	बड़ा	ा	ड़ा	बड़ा	0	ब	ड़	ा	_	_	बड़	ड़ा	ा_	__	__	बड़ा	ड़ा_	ा__	___	___	बड़ा_	ड़ा__	ा___	____	____	बड़ा__	ड़ा___	ा____	_____	_____	आइएसओ	का	रेंज	6	0
रेंज	0	4	र	रे	रें	ज	ंज	ेंज	0	र	े	ं	ज	_	रे	ें	ंज	ज_	__	रें	ेंज	ंज_	ज__	___	रेंज	ेंज_	ंज__	ज___	____	रेंज_	ेंज__	ंज___	ज____	_____	का	बड़ा	6	और	0
6	0	1	6	NULL	NULL	6	NULL	NULL	0	6	_	_	_	_	6_	__	__	__	__	6__	___	___	___	___	6___	____	____	____	____	6____	_____	_____	_____	_____	बड़ा	रेंज	और	एफपीएस	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	रेंज	6	एफपीएस	ड्राइव	0
एफपीएस	0	6	ए	एफ	एफप	स	एस	ीएस	0	ए	फ	प	ी	ए	एफ	फप	पी	ीए	एस	एफप	फपी	पीए	ीएस	एस_	एफपी	फपीए	पीएस	ीएस_	एस__	एफपीए	फपीएस	पीएस_	ीएस__	एस___	6	और	ड्राइव	मोटर	0
ड्राइव	0	6	ड	ड्	ड्र	व	इव	ाइव	0	ड	्	र	ा	इ	ड्	्र	रा	ाइ	इव	ड्र	्रा	राइ	ाइव	इव_	ड्रा	्राइ	राइव	ाइव_	इव__	ड्राइ	्राइव	राइव_	ाइव__	इव___	और	एफपीएस	मोटर	इसकी	B_ASP
मोटर	0	4	म	मो	मोट	र	टर	ोटर	0	म	ो	ट	र	_	मो	ोट	टर	र_	__	मोट	ोटर	टर_	र__	___	मोटर	ोटर_	टर__	र___	____	मोटर_	ोटर__	टर___	र____	_____	एफपीएस	ड्राइव	इसकी	खासियते	I_ASP
इसकी	1	4	इ	इस	इसक	ी	की	सकी	0	इ	स	क	ी	_	इस	सक	की	ी_	__	इसक	सकी	की_	ी__	___	इसकी	सकी_	की__	ी___	____	इसकी_	सकी__	की___	ी____	_____	ड्राइव	मोटर	खासियते	हैं	0
खासियते	0	7	ख	खा	खास	े	ते	यते	0	ख	ा	स	ि	य	खा	ास	सि	िय	यत	खास	ासि	सिय	ियत	यते	खासि	ासिय	सियत	ियते	यते_	खासिय	ासियत	सियते	ियते_	यते__	मोटर	इसकी	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	इसकी	खासियते	NULL	NULL	0
