आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
इन	0	2	इ	इन	NULL	न	इन	NULL	0	इ	न	_	_	_	इन	न_	__	__	__	इन_	न__	___	___	___	इन__	न___	____	____	____	इन___	न____	_____	_____	_____	NULL	NULL	सबके	अलावा	0
सबके	0	4	स	सब	सबक	े	के	बके	0	स	ब	क	े	_	सब	बक	के	े_	__	सबक	बके	के_	े__	___	सबके	बके_	के__	े___	____	सबके_	बके__	के___	े____	_____	NULL	इन	अलावा	फोन	0
अलावा	0	5	अ	अल	अला	ा	वा	ावा	0	अ	ल	ा	व	ा	अल	ला	ाव	वा	ा_	अला	लाव	ावा	वा_	ा__	अलाव	लावा	ावा_	वा__	ा___	अलावा	लावा_	ावा__	वा___	ा____	इन	सबके	फोन	में	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	सबके	अलावा	में	की	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	अलावा	फोन	की	इंटरनल	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	फोन	में	इंटरनल	मैमोरी	0
इंटरनल	0	6	इ	इं	इंट	ल	नल	रनल	1	इ	ं	ट	र	न	इं	ंट	टर	रन	नल	इंट	ंटर	टरन	रनल	नल_	इंटर	ंटरन	टरनल	रनल_	नल__	इंटरन	ंटरनल	टरनल_	रनल__	नल___	में	की	मैमोरी	8	B_ASP
मैमोरी	0	6	म	मै	मैम	ी	री	ोरी	0	म	ै	म	ो	र	मै	ैम	मो	ोर	री	मैम	ैमो	मोर	ोरी	री_	मैमो	ैमोर	मोरी	ोरी_	री__	मैमोर	ैमोरी	मोरी_	ोरी__	री___	की	इंटरनल	8	जीबी	I_ASP
8	0	1	8	NULL	NULL	8	NULL	NULL	0	8	_	_	_	_	8_	__	__	__	__	8__	___	___	___	___	8___	____	____	____	____	8____	_____	_____	_____	_____	इंटरनल	मैमोरी	जीबी	है	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	मैमोरी	8	है	जिसे	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	8	जीबी	जिसे	माइक्रोएसडी	0
जिसे	0	4	ज	जि	जिस	े	से	िसे	0	ज	ि	स	े	_	जि	िस	से	े_	__	जिस	िसे	से_	े__	___	जिसे	िसे_	से__	े___	____	जिसे_	िसे__	से___	े____	_____	जीबी	है	माइक्रोएसडी	कार्ड	0
माइक्रोएसडी	0	11	म	मा	माइ	ी	डी	सडी	1	म	ा	इ	क	्	मा	ाइ	इक	क्	्र	माइ	ाइक	इक्	क्र	्रो	माइक	ाइक्	इक्र	क्रो	्रोए	माइक्	ाइक्र	इक्रो	क्रोए	्रोएस	है	जिसे	कार्ड	स्‍लॉट	B_ASP
कार्ड	0	5	क	का	कार	ड	्ड	र्ड	1	क	ा	र	्	ड	का	ार	र्	्ड	ड_	कार	ार्	र्ड	्ड_	ड__	कार्	ार्ड	र्ड_	्ड__	ड___	कार्ड	ार्ड_	र्ड__	्ड___	ड____	जिसे	माइक्रोएसडी	स्‍लॉट	की	I_ASP
स्‍लॉट	0	6	स	स्	स्‍	ट	ॉट	लॉट	0	स	्	‍	ल	ॉ	स्	्‍	‍ल	लॉ	ॉट	स्‍	्‍ल	‍लॉ	लॉट	ॉट_	स्‍ल	्‍लॉ	‍लॉट	लॉट_	ॉट__	स्‍लॉ	्‍लॉट	‍लॉट_	लॉट__	ॉट___	माइक्रोएसडी	कार्ड	की	मदद	I_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	कार्ड	स्‍लॉट	मदद	से	0
मदद	0	3	म	मद	मदद	द	दद	मदद	0	म	द	द	_	_	मद	दद	द_	__	__	मदद	दद_	द__	___	___	मदद_	दद__	द___	____	____	मदद__	दद___	द____	_____	_____	स्‍लॉट	की	से	32	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	की	मदद	32	जीबी	0
32	0	2	3	32	NULL	2	32	NULL	0	3	2	_	_	_	32	2_	__	__	__	32_	2__	___	___	___	32__	2___	____	____	____	32___	2____	_____	_____	_____	मदद	से	जीबी	तक	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	से	32	तक	एक्‍पेंड	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	32	जीबी	एक्‍पेंड	कर	0
एक्‍पेंड	0	8	ए	एक	एक्	ड	ंड	ेंड	0	ए	क	्	‍	प	एक	क्	्‍	‍प	पे	एक्	क्‍	्‍प	‍पे	पें	एक्‍	क्‍प	्‍पे	‍पें	पेंड	एक्‍प	क्‍पे	्‍पें	‍पेंड	पेंड_	जीबी	तक	कर	सकते	0
कर	1	2	क	कर	NULL	र	कर	NULL	0	क	र	_	_	_	कर	र_	__	__	__	कर_	र__	___	___	___	कर__	र___	____	____	____	कर___	र____	_____	_____	_____	तक	एक्‍पेंड	सकते	हैं	0
सकते	1	4	स	सक	सकत	े	ते	कते	0	स	क	त	े	_	सक	कत	ते	े_	__	सकत	कते	ते_	े__	___	सकते	कते_	ते__	े___	____	सकते_	कते__	ते___	े____	_____	एक्‍पेंड	कर	हैं	कैमरे	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	कर	सकते	कैमरे	में	0
कैमरे	0	5	क	कै	कैम	े	रे	मरे	1	क	ै	म	र	े	कै	ैम	मर	रे	े_	कैम	ैमर	मरे	रे_	े__	कैमर	ैमरे	मरे_	रे__	े___	कैमरे	ैमरे_	मरे__	रे___	े____	सकते	हैं	में	नजर	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	हैं	कैमरे	नजर	डालें	0
नजर	0	3	न	नज	नजर	र	जर	नजर	0	न	ज	र	_	_	नज	जर	र_	__	__	नजर	जर_	र__	___	___	नजर_	जर__	र___	____	____	नजर__	जर___	र____	_____	_____	कैमरे	में	डालें	तो	0
डालें	0	5	ड	डा	डाल	ं	ें	लें	0	ड	ा	ल	े	ं	डा	ाल	ले	ें	ं_	डाल	ाले	लें	ें_	ं__	डाले	ालें	लें_	ें__	ं___	डालें	ालें_	लें__	ें___	ं____	में	नजर	तो	फ्रंट	0
तो	1	2	त	तो	NULL	ो	तो	NULL	0	त	ो	_	_	_	तो	ो_	__	__	__	तो_	ो__	___	___	___	तो__	ो___	____	____	____	तो___	ो____	_____	_____	_____	नजर	डालें	फ्रंट	में	0
फ्रंट	0	5	फ	फ्	फ्र	ट	ंट	रंट	1	फ	्	र	ं	ट	फ्	्र	रं	ंट	ट_	फ्र	्रं	रंट	ंट_	ट__	फ्रं	्रंट	रंट_	ंट__	ट___	फ्रंट	्रंट_	रंट__	ंट___	ट____	डालें	तो	में	5	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	तो	फ्रंट	5	मेगापिक्‍सल	0
5	0	1	5	NULL	NULL	5	NULL	NULL	0	5	_	_	_	_	5_	__	__	__	__	5__	___	___	___	___	5___	____	____	____	____	5____	_____	_____	_____	_____	फ्रंट	में	मेगापिक्‍सल	का	0
मेगापिक्‍सल	0	11	म	मे	मेग	ल	सल	‍सल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्‍	में	5	का	ऑटोफोकस	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	5	मेगापिक्‍सल	ऑटोफोकस	मेन	0
ऑटोफोकस	0	7	ऑ	ऑट	ऑटो	स	कस	ोकस	0	ऑ	ट	ो	फ	ो	ऑट	टो	ोफ	फो	ोक	ऑटो	टोफ	ोफो	फोक	ोकस	ऑटोफ	टोफो	ोफोक	फोकस	ोकस_	ऑटोफो	टोफोक	ोफोकस	फोकस_	ोकस__	मेगापिक्‍सल	का	मेन	कैमरा	0
मेन	0	3	म	मे	मेन	न	ेन	मेन	0	म	े	न	_	_	मे	ेन	न_	__	__	मेन	ेन_	न__	___	___	मेन_	ेन__	न___	____	____	मेन__	ेन___	न____	_____	_____	का	ऑटोफोकस	कैमरा	लिड	0
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	ऑटोफोकस	मेन	लिड	लाइट	B_ASP
लिड	0	3	ल	लि	लिड	ड	िड	लिड	0	ल	ि	ड	_	_	लि	िड	ड_	__	__	लिड	िड_	ड__	___	___	लिड_	िड__	ड___	____	____	लिड__	िड___	ड____	_____	_____	मेन	कैमरा	लाइट	के	0
लाइट	0	4	ल	ला	लाइ	ट	इट	ाइट	0	ल	ा	इ	ट	_	ला	ाइ	इट	ट_	__	लाइ	ाइट	इट_	ट__	___	लाइट	ाइट_	इट__	ट___	____	लाइट_	ाइट__	इट___	ट____	_____	कैमरा	लिड	के	साथ	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	लिड	लाइट	साथ	लगा	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	लाइट	के	लगा	हुआ	0
लगा	0	3	ल	लग	लगा	ा	गा	लगा	0	ल	ग	ा	_	_	लग	गा	ा_	__	__	लगा	गा_	ा__	___	___	लगा_	गा__	ा___	____	____	लगा__	गा___	ा____	_____	_____	के	साथ	हुआ	है	0
हुआ	1	3	ह	हु	हुआ	आ	ुआ	हुआ	0	ह	ु	आ	_	_	हु	ुआ	आ_	__	__	हुआ	ुआ_	आ__	___	___	हुआ_	ुआ__	आ___	____	____	हुआ__	ुआ___	आ____	_____	_____	साथ	लगा	है	वहीं	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	लगा	हुआ	वहीं	दूसरी	0
वहीं	0	4	व	वह	वही	ं	ीं	हीं	0	व	ह	ी	ं	_	वह	ही	ीं	ं_	__	वही	हीं	ीं_	ं__	___	वहीं	हीं_	ीं__	ं___	____	वहीं_	हीं__	ीं___	ं____	_____	हुआ	है	दूसरी	तरफ	0
दूसरी	0	5	द	दू	दूस	ी	री	सरी	0	द	ू	स	र	ी	दू	ूस	सर	री	ी_	दूस	ूसर	सरी	री_	ी__	दूसर	ूसरी	सरी_	री__	ी___	दूसरी	ूसरी_	सरी__	री___	ी____	है	वहीं	तरफ	0.3	0
तरफ	0	3	त	तर	तरफ	फ	रफ	तरफ	0	त	र	फ	_	_	तर	रफ	फ_	__	__	तरफ	रफ_	फ__	___	___	तरफ_	रफ__	फ___	____	____	तरफ__	रफ___	फ____	_____	_____	वहीं	दूसरी	0.3	मेगापिक्‍सल	0
0.3	0	3	0	0.	0.3	3	.3	0.3	0	0	.	3	_	_	0.	.3	3_	__	__	0.3	.3_	3__	___	___	0.3_	.3__	3___	____	____	0.3__	.3___	3____	_____	_____	दूसरी	तरफ	मेगापिक्‍सल	का	0
मेगापिक्‍सल	0	11	म	मे	मेग	ल	सल	‍सल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्‍	तरफ	0.3	का	वीजिए	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	0.3	मेगापिक्‍सल	वीजिए	कैमरा	0
वीजिए	0	5	व	वी	वीज	ए	िए	जिए	0	व	ी	ज	ि	ए	वी	ीज	जि	िए	ए_	वीज	ीजि	जिए	िए_	ए__	वीजि	ीजिए	जिए_	िए__	ए___	वीजिए	ीजिए_	जिए__	िए___	ए____	मेगापिक्‍सल	का	कैमरा	लगा	0
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	का	वीजिए	लगा	हुआ	B_ASP
लगा	0	3	ल	लग	लगा	ा	गा	लगा	0	ल	ग	ा	_	_	लग	गा	ा_	__	__	लगा	गा_	ा__	___	___	लगा_	गा__	ा___	____	____	लगा__	गा___	ा____	_____	_____	वीजिए	कैमरा	हुआ	है	0
हुआ	1	3	ह	हु	हुआ	आ	ुआ	हुआ	0	ह	ु	आ	_	_	हु	ुआ	आ_	__	__	हुआ	ुआ_	आ__	___	___	हुआ_	ुआ__	आ___	____	____	हुआ__	ुआ___	आ____	_____	_____	कैमरा	लगा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	लगा	हुआ	NULL	NULL	0
EOL
जोलो	0	4	ज	जो	जोल	ो	लो	ोलो	0	ज	ो	ल	ो	_	जो	ोल	लो	ो_	__	जोल	ोलो	लो_	ो__	___	जोलो	ोलो_	लो__	ो___	____	जोलो_	ोलो__	लो___	ो____	_____	NULL	NULL	प्राइम	में	0
प्राइम	0	6	प	प्	प्र	म	इम	ाइम	0	प	्	र	ा	इ	प्	्र	रा	ाइ	इम	प्र	्रा	राइ	ाइम	इम_	प्रा	्राइ	राइम	ाइम_	इम__	प्राइ	्राइम	राइम_	ाइम__	इम___	NULL	जोलो	में	दी	0
