बुध	ुधव	धवा	वार	ार_	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

चैट	ैट_	ट__	___	___	
के_	े__	___	___	___	
अंद	ंदर	दर_	र__	___	
मैस	ैसे	सेज	ेज_	ज__	
डिल	िली	लीव	ीवर	वरी	
बिल	िल्	ल्क	्कु	कुल	
रिय	ियल	यल_	ल__	___	
टाइ	ाइम	इम_	म__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

आपक	पके	के_	े__	___	
बीब	ीबी	बीए	ीएम	एम_	
प्र	्रो	रोफ	ोफा	फाइ	
को_	ो__	___	___	___	
स्क	्क्	क्र	्री	रीन	
के_	े__	___	___	___	
टॉप	ॉप_	प__	___	___	
पर_	र__	___	___	___	
स्थ	्थि	थित	ित_	त__	
बार	ार_	र__	___	___	
के_	े__	___	___	___	
द्व	्वा	वार	ारा	रा_	
एक्	क्स	्से	सेस	ेस_	
किय	िया	या_	ा__	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
जहा	हां	ां_	ं__	___	
कि_	ि__	___	___	___	
प्र	्रो	रोफ	ोफा	फाइ	
पिक	िक्	क्च	्चर	चर_	
और_	र__	___	___	___	
स्ट	्टे	टेट	ेटस	टस_	
अपड	पडे	डेट	ेट_	ट__	
होत	ोते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कम्	म्प	्पा	पाइ	ाइट	
:__	___	___	___	___	
आर्	र्इ	्इफ	इफो	फोन	
जिस	िस_	स__	___	___	
पर_	र__	___	___	___	
आर्	र्इ	्इओ	इओए	ओएस	
और_	र__	___	___	___	
आर्	र्इ	्इओ	इओए	ओएस	
EOL	OL_	L__	___	___	

अपन	पने	ने_	े__	___	
प्र	्रत	रति	तिस	िस्	
के_	े__	___	___	___	
मुक	ुका	काब	ाबल	बले	
ज्य	्या	याद	ादा	दा_	
चैन	ैनल	नल_	ल__	___	
देत	ेता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

अच्	च्छ	्छी	छी_	ी__	
स्ट	्ट्	ट्र	्री	रीम	
क्व	्वा	वाल	ालि	लिट	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मैस	ैसि	सिव	िव_	व__	
वीड	ीडि	डिय	ियो	यो_	
लाइ	ाइब	इब्	ब्र	्रे	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बोर	ोर्	र्ड	्ड_	ड__	
पर_	र__	___	___	___	
अभी	भी_	ी__	___	___	
तक_	क__	___	___	___	
कोर	ोर्	र्इ	्इ_	इ__	
स्प	्पो	पोर	ोर्	र्ट	
चैन	ैनल	नल_	ल__	___	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
समय	मय_	य__	___	___	
केव	ेवल	वल_	ल__	___	
एंड	ंड्	ड्र	्रॉ	रॉय	
डिव	िवा	वाइ	ाइस	इसे	
पर_	र__	___	___	___	
ही_	ी__	___	___	___	
उपल	पलब	लब्	ब्ध	्ध_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एयर	यरट	रटे	टेल	ेल_	
डिज	िजि	जिट	िटल	टल_	
टीव	ीवी	वी_	ी__	___	
(__	___	___	___	___	
डीट	ीटी	टीए	ीएच	एच_	
)__	___	___	___	___	
ग्र	्रा	राह	ाहक	हको	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
,__	___	___	___	___	
इस_	स__	___	___	___	
मूव	ूव_	व__	___	___	
पर_	र__	___	___	___	
लाइ	ाइव	इव_	व__	___	
टीव	ीवी	वी_	ी__	___	
सब्	ब्स	्सक	सक्	क्र	
करन	रने	ने_	े__	___	
का_	ा__	___	___	___	
यह_	ह__	___	___	___	
संक	ंके	केत	ेत_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ऐसी	सी_	ी__	___	___	
सर्	र्व	्वि	विस	िस_	
शुर	ुरू	रू_	ू__	___	
करन	रने	ने_	े__	___	
वाल	ाला	ला_	ा__	___	
,__	___	___	___	___	
यह_	ह__	___	___	___	
तीस	ीसर	सरा	रा_	ा__	
डाय	ायर	यरे	रेक	ेक्	
-JO	JOI	OIN	IN_	N__	
टू-	ू-ह	-हो	होम	ोम_	
टेल	ेलि	लिव	िवि	विज	
सर्	र्व	्वि	विस	िस_	
प्र	्रो	रोव	ोवा	वाइ	
है_	ै__	___	___	___	
,__	___	___	___	___	
और_	र__	___	___	___	
यह_	ह__	___	___	___	
प्र	्रय	रया	यास	ास_	
बहु	हुत	ुत_	त__	___	
ही_	ी__	___	___	___	
प्र	्रभ	रभा	भाव	ावश	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
एप्	प्प	्प_	प__	___	
अभी	भी_	ी__	___	___	
सिर	िर्	र्फ	्फ_	फ__	
एंड	ंड्	ड्र	्रॉ	रॉय	
डिव	िवा	वाइ	ाइस	इसे	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
ही_	ी__	___	___	___	
उपल	पलब	लब्	ब्ध	्ध_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सकी	की_	ी__	___	
स्ट	्ट्	ट्र	्री	रीम	
की_	ी__	___	___	___	
क्व	्वा	वाल	ालि	लिट	
बहु	हुत	ुत_	त__	___	
हद_	द__	___	___	___	
तक_	क__	___	___	___	
आपक	पके	के_	े__	___	
इंट	ंटर	टरन	रने	नेट	
कने	नेक	ेक्	क्श	्शन	
पर_	र__	___	___	___	
निर	िर्	र्भ	्भर	भर_	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
और_	र__	___	___	___	
हर_	र__	___	___	___	
चीज	ीज_	ज__	___	___	
सुव	ुव्	व्य	्यस	यस्	
होन	ोने	ने_	े__	___	
के_	े__	___	___	___	
कार	ारण	रण_	ण__	___	
,__	___	___	___	___	
टीव	ीवी	वी_	ी__	___	
चैन	ैनल	नल_	ल__	___	
बिल	िल्	ल्क	्कु	कुल	
सही	ही_	ी__	___	___	
ढंग	ंग_	ग__	___	___	
से_	े__	___	___	___	
देख	ेखे	खे_	े__	___	
जा_	ा__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सका	का_	ा__	___	
एप्	प्प	्प_	प__	___	
इंट	ंटर	टरफ	रफे	फेस	
बहु	हुत	ुत_	त__	___	
रोम	ोमा	मां	ांच	ंचक	
तो_	ो__	___	___	___	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
अच्	च्छ	्छी	छी_	ी__	
बात	ात_	त__	___	___	
यह_	ह__	___	___	___	
है_	ै__	___	___	___	
कि_	ि__	___	___	___	
यह_	ह__	___	___	___	
बहु	हुत	ुत_	त__	___	
ही_	ी__	___	___	___	
क्ल	्लट	लटर	टर_	र__	
-JO	JOI	OIN	IN_	N__	
फ्र	्री	री_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एयर	यरट	रटे	टेल	ेल_	
एप्	प्प	्प_	प__	___	
पर_	र__	___	___	___	
150	50_	0__	___	___	
चैन	ैनल	नल_	ल__	___	
देत	ेते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
जो_	ो__	___	___	___	
इसक	सके	के_	े__	___	
किस	िसी	सी_	ी__	___	
भी_	ी__	___	___	___	
प्र	्रत	रति	तिस	िस्	
के_	े__	___	___	___	
मुक	ुका	काब	ाबल	बले	
अधि	धिक	िक_	क__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लाल	ाल_	ल__	___	___	
और_	र__	___	___	___	
सफे	फेद	ेद_	द__	___	
का_	ा__	___	___	___	
कलर	लर_	र__	___	___	
थीम	ीम_	म__	___	___	
कम्	म्ब	्बि	बिन	िने	
एयर	यरट	रटे	टेल	ेल_	
का_	ा__	___	___	___	
बहु	हुत	ुत_	त__	___	
ही_	ी__	___	___	___	
सुं	ुंद	ंदर	दर_	र__	
ट्र	्रे	रेड	ेडम	डमा	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वीड	ीडि	डिय	ियो	यो_	
को_	ो__	___	___	___	
फ्र	्री	री_	ी__	___	
दिख	िखा	खात	ाता	ता_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

दाय	ायी	यीं	ीं_	ं__	
ओर_	र__	___	___	___	
वर्	र्ट	्टि	टिक	िकल	
मेन	ेन्	न्य	्यू	यू_	
होत	ोता	ता_	ा__	___	
है_	ै__	___	___	___	
जिस	िसम	समे	में	ें_	
एनी	नी_	ी__	___	___	
टाइ	ाइम	इम_	म__	___	
टीव	ीवी	वी_	ी__	___	
(__	___	___	___	___	
कैच	ैच_	च__	___	___	
-JO	JOI	OIN	IN_	N__	
अप_	प__	___	___	___	
टीव	ीवी	वी_	ी__	___	
)__	___	___	___	___	
,__	___	___	___	___	
ट्र	्रे	रें	ेंड	ंडि	
प्र	्रो	रोग	ोग्	ग्र	
,__	___	___	___	___	
फ्र	्री	री_	ी__	___	
वीड	ीडि	डिय	ियो	योज	
और_	र__	___	___	___	
मूव	ूवी	वी_	ी__	___	
प्र	्री	रीव	ीव्	व्य	
जैस	ैसे	से_	े__	___	
वैल	ैल्	ल्य	्यू	यू_	
एडे	डेड	ेड_	ड__	___	
फीच	ीचर	चर्	र्स	्स_	
की_	ी__	___	___	___	
लिस	िस्	स्ट	्ट_	ट__	
होत	ोती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मौज	ौजू	जूद	ूदा	दा_	
डिज	िजा	जाइ	ाइन	इन_	
निस	िस्	स्स	्सं	संद	
उपय	पयो	योग	ोग_	ग__	
और_	र__	___	___	___	
प्र	्रे	रेर	ेरण	रणा	
से_	े__	___	___	___	
अधि	धिक	िक_	क__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
खास	ास_	स__	___	___	
तौर	ौर_	र__	___	___	
से_	े__	___	___	___	
एक_	क__	___	___	___	
छोट	ोटे	टे_	े__	___	
स्म	्मा	मार	ार्	र्ट	
के_	े__	___	___	___	
स्क	्क्	क्र	्री	रीन	
पर_	र__	___	___	___	
हार	ार्	र्इ	्इ_	इ__	
क्व	्वा	वाल	ालि	लिट	
एप्	प्प	्प_	प__	___	
की_	ी__	___	___	___	
तरह	रह_	ह__	___	___	
नही	हीं	ीं_	ं__	___	
लगत	गता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

और_	र__	___	___	___	
चूं	ूंक	ंकि	कि_	ि__	
वह_	ह__	___	___	___	
बहु	हुत	ुत_	त__	___	
से_	े__	___	___	___	
यूज	ूजर	जर्	र्स	्स_	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
परे	रेश	ेशा	शान	ानी	
का_	ा__	___	___	___	
सबब	बब_	ब__	___	___	
नही	हीं	ीं_	ं__	___	
बनत	नता	ता_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
अत_	त__	___	___	___	
:__	___	___	___	___	
आप_	प__	___	___	___	
एयर	यरट	रटे	टेल	ेल_	
से_	े__	___	___	___	
इसक	सकी	की_	ी__	___	
उम्	म्म	्मी	मीद	ीद_	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
कि_	ि__	___	___	___	
वह_	ह__	___	___	___	
एप्	प्प	्प_	प__	___	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
कुछ	ुछ_	छ__	___	___	
अच्	च्छ	्छा	छा_	ा__	
करे	रे_	े__	___	___	
जो_	ो__	___	___	___	
आगे	गे_	े__	___	___	
एक_	क__	___	___	___	
अच्	च्छ	्छा	छा_	ा__	
डील	ील_	ल__	___	___	
हो_	ो__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

हल्	ल्क	्का	का_	ा__	
चमक	मकी	कील	ीला	ला_	
ग्र	्रा	राफ	ाफि	फिक	
अच्	च्छ	्छा	छा_	ा__	
काम	ाम_	म__	___	___	
करे	रेग	ेगा	गा_	ा__	
,__	___	___	___	___	
जैस	ैसे	से_	े__	___	
कि_	ि__	___	___	___	
टाट	ाटा	टा_	ा__	___	
स्क	्का	कार	ार्	र्इ	
ने_	े__	___	___	___	
एवर	वरी	रीह	ीह्	ह्व	
टीव	ीवी	वी_	ी__	___	
सर्	र्व	्वि	विस	िस_	
को_	ो__	___	___	___	
पैक	ैके	केज	ेज_	ज__	
किय	िया	या_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लाइ	ाइव	इव_	व__	___	
टीव	ीवी	वी_	ी__	___	
-__	___	___	___	___	
यह_	ह__	___	___	___	
इस_	स__	___	___	___	
एप्	प्प	्प_	प__	___	
के_	े__	___	___	___	
इस्	स्त	्ते	तेम	ेमा	
करन	रने	ने_	े__	___	
और_	र__	___	___	___	
उसक	सके	के_	े__	___	
लिए	िए_	ए__	___	___	
भुग	ुगत	गता	तान	ान_	
करन	रने	ने_	े__	___	
के_	े__	___	___	___	
पूर	ूरे	रे_	े__	___	
काम	ाम_	म__	___	___	
का_	ा__	___	___	___	
मेन	ेन_	न__	___	___	
प्व	्वॉ	वॉइ	ॉइं	इंट	
है_	ै__	___	___	___	
,__	___	___	___	___	
और_	र__	___	___	___	
यह_	ह__	___	___	___	
बता	तात	ाते	ते_	े__	
हुए	ुए_	ए__	___	___	
मुझ	ुझे	झे_	े__	___	
बहु	हुत	ुत_	त__	___	
खुश	ुशी	शी_	ी__	___	
हो_	ो__	___	___	___	
रही	ही_	ी__	___	___	
है_	ै__	___	___	___	
कि_	ि__	___	___	___	
इसक	सका	का_	ा__	___	
अनु	नुभ	ुभव	भव_	व__	
बहु	हुत	ुत_	त__	___	
ही_	ी__	___	___	___	
अच्	च्छ	्छा	छा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

आपक	पको	को_	ो__	___	
बस_	स__	___	___	___	
एक_	क__	___	___	___	
अच्	च्छ	्छी	छी_	ी__	
स्प	्पी	पीड	ीड_	ड__	
पर_	र__	___	___	___	
एक_	क__	___	___	___	
वार	ार्	र्इ	्इफ	इफा	
या_	ा__	___	___	___	
3जी	जी_	ी__	___	___	
कने	नेक	ेक्	क्श	्शन	
की_	ी__	___	___	___	
जरू	रूर	ूरत	रत_	त__	
होत	ोती	ती_	ी__	___	
है_	ै__	___	___	___	
और_	र__	___	___	___	
स्ट	्ट्	ट्र	्री	रीम	
क्व	्वा	वाल	ालि	लिट	
भी_	ी__	___	___	___	
अच्	च्छ	्छी	छी_	ी__	
होत	ोती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

डिट	िटे	टेक	ेक्	क्ट	
बैं	ैंड	ंडव	डवि	विथ	
के_	े__	___	___	___	
अनु	नुस	ुसा	सार	ार_	
,__	___	___	___	___	
क्व	्वा	वाल	ालि	लिट	
को_	ो__	___	___	___	
ऑटो	टोम	ोमै	मैट	ैटि	
मैन	ैने	नेज	ेज_	ज__	
किय	िया	या_	ा__	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

किस	िसी	सी_	ी__	___	
स्म	्मा	मार	ार्	र्ट	
या_	ा__	___	___	___	
टैब	ैबल	बले	लेट	ेट_	
के_	े__	___	___	___	
माम	ामल	मले	ले_	े__	
में	ें_	ं__	___	___	
,__	___	___	___	___	
यह_	ह__	___	___	___	
स्ट	्ट्	ट्र	्री	रीम	
