बु	ुध	धव	वा	ार	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ऐस	सी	ी_	__	__	
सर	र्	्व	वि	िस	
शु	ुर	रू	ू_	__	
कर	रन	ने	े_	__	
वा	ाल	ला	ा_	__	
,_	__	__	__	__	
यह	ह_	__	__	__	
ती	ीस	सर	रा	ा_	
डा	ाय	यर	रे	ेक	
-J	JO	OI	IN	N_	
टू	ू-	-ह	हो	ोम	
टे	ेल	लि	िव	वि	
सर	र्	्व	वि	िस	
प्	्र	रो	ोव	वा	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
यह	ह_	__	__	__	
प्	्र	रय	या	ास	
बह	हु	ुत	त_	__	
ही	ी_	__	__	__	
प्	्र	रभ	भा	ाव	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
एप	प्	्प	प_	__	
अभ	भी	ी_	__	__	
सि	िर	र्	्फ	फ_	
एं	ंड	ड्	्र	रॉ	
डि	िव	वा	ाइ	इस	
के	े_	__	__	__	
लि	िए	ए_	__	__	
ही	ी_	__	__	__	
उप	पल	लब	ब्	्ध	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	की	ी_	__	
स्	्ट	ट्	्र	री	
की	ी_	__	__	__	
क्	्व	वा	ाल	लि	
बह	हु	ुत	त_	__	
हद	द_	__	__	__	
तक	क_	__	__	__	
आप	पक	के	े_	__	
इं	ंट	टर	रन	ने	
कन	ने	ेक	क्	्श	
पर	र_	__	__	__	
नि	िर	र्	्भ	भर	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
हर	र_	__	__	__	
ची	ीज	ज_	__	__	
सु	ुव	व्	्य	यस	
हो	ोन	ने	े_	__	
के	े_	__	__	__	
का	ार	रण	ण_	__	
,_	__	__	__	__	
टी	ीव	वी	ी_	__	
चै	ैन	नल	ल_	__	
बि	िल	ल्	्क	कु	
सह	ही	ी_	__	__	
ढं	ंग	ग_	__	__	
से	े_	__	__	__	
दे	ेख	खे	े_	__	
जा	ा_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	का	ा_	__	
एप	प्	्प	प_	__	
इं	ंट	टर	रफ	फे	
बह	हु	ुत	त_	__	
रो	ोम	मा	ां	ंच	
तो	ो_	__	__	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
अच	च्	्छ	छी	ी_	
बा	ात	त_	__	__	
यह	ह_	__	__	__	
है	ै_	__	__	__	
कि	ि_	__	__	__	
यह	ह_	__	__	__	
बह	हु	ुत	त_	__	
ही	ी_	__	__	__	
क्	्ल	लट	टर	र_	
-J	JO	OI	IN	N_	
फ्	्र	री	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एय	यर	रट	टे	ेल	
एप	प्	्प	प_	__	
पर	र_	__	__	__	
15	50	0_	__	__	
चै	ैन	नल	ल_	__	
दे	ेत	ते	े_	__	
है	ैं	ं_	__	__	
जो	ो_	__	__	__	
इस	सक	के	े_	__	
कि	िस	सी	ी_	__	
भी	ी_	__	__	__	
प्	्र	रत	ति	िस	
के	े_	__	__	__	
मु	ुक	का	ाब	बल	
अध	धि	िक	क_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ला	ाल	ल_	__	__	
और	र_	__	__	__	
सफ	फे	ेद	द_	__	
का	ा_	__	__	__	
कल	लर	र_	__	__	
थी	ीम	म_	__	__	
कम	म्	्ब	बि	िन	
एय	यर	रट	टे	ेल	
का	ा_	__	__	__	
बह	हु	ुत	त_	__	
ही	ी_	__	__	__	
सु	ुं	ंद	दर	र_	
ट्	्र	रे	ेड	डम	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

वी	ीड	डि	िय	यो	
को	ो_	__	__	__	
फ्	्र	री	ी_	__	
दि	िख	खा	ात	ता	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

दा	ाय	यी	ीं	ं_	
ओर	र_	__	__	__	
वर	र्	्ट	टि	िक	
मे	ेन	न्	्य	यू	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
जि	िस	सम	मे	ें	
एन	नी	ी_	__	__	
टा	ाइ	इम	म_	__	
टी	ीव	वी	ी_	__	
(_	__	__	__	__	
कै	ैच	च_	__	__	
-J	JO	OI	IN	N_	
अप	प_	__	__	__	
टी	ीव	वी	ी_	__	
)_	__	__	__	__	
,_	__	__	__	__	
ट्	्र	रे	ें	ंड	
प्	्र	रो	ोग	ग्	
,_	__	__	__	__	
फ्	्र	री	ी_	__	
वी	ीड	डि	िय	यो	
और	र_	__	__	__	
मू	ूव	वी	ी_	__	
प्	्र	री	ीव	व्	
जै	ैस	से	े_	__	
वै	ैल	ल्	्य	यू	
एड	डे	ेड	ड_	__	
फी	ीच	चर	र्	्स	
की	ी_	__	__	__	
लि	िस	स्	्ट	ट_	
हो	ोत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

मौ	ौज	जू	ूद	दा	
डि	िज	जा	ाइ	इन	
नि	िस	स्	्स	सं	
उप	पय	यो	ोग	ग_	
और	र_	__	__	__	
प्	्र	रे	ेर	रण	
से	े_	__	__	__	
अध	धि	िक	क_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
खा	ास	स_	__	__	
तौ	ौर	र_	__	__	
से	े_	__	__	__	
एक	क_	__	__	__	
छो	ोट	टे	े_	__	
स्	्म	मा	ार	र्	
के	े_	__	__	__	
स्	्क	क्	्र	री	
पर	र_	__	__	__	
हा	ार	र्	्इ	इ_	
क्	्व	वा	ाल	लि	
एप	प्	्प	प_	__	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
नह	ही	ीं	ं_	__	
लग	गत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

और	र_	__	__	__	
चू	ूं	ंक	कि	ि_	
वह	ह_	__	__	__	
बह	हु	ुत	त_	__	
से	े_	__	__	__	
यू	ूज	जर	र्	्स	
के	े_	__	__	__	
लि	िए	ए_	__	__	
पर	रे	ेश	शा	ान	
का	ा_	__	__	__	
सब	बब	ब_	__	__	
नह	ही	ीं	ं_	__	
बन	नत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
अत	त_	__	__	__	
:_	__	__	__	__	
आप	प_	__	__	__	
एय	यर	रट	टे	ेल	
से	े_	__	__	__	
इस	सक	की	ी_	__	
उम	म्	्म	मी	ीद	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
कि	ि_	__	__	__	
वह	ह_	__	__	__	
एप	प्	्प	प_	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
कु	ुछ	छ_	__	__	
अच	च्	्छ	छा	ा_	
कर	रे	े_	__	__	
जो	ो_	__	__	__	
आग	गे	े_	__	__	
एक	क_	__	__	__	
अच	च्	्छ	छा	ा_	
डी	ील	ल_	__	__	
हो	ो_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हल	ल्	्क	का	ा_	
चम	मक	की	ील	ला	
ग्	्र	रा	ाफ	फि	
अच	च्	्छ	छा	ा_	
का	ाम	म_	__	__	
कर	रे	ेग	गा	ा_	
,_	__	__	__	__	
जै	ैस	से	े_	__	
कि	ि_	__	__	__	
टा	ाट	टा	ा_	__	
स्	्क	का	ार	र्	
ने	े_	__	__	__	
एव	वर	री	ीह	ह्	
टी	ीव	वी	ी_	__	
सर	र्	्व	वि	िस	
को	ो_	__	__	__	
पै	ैक	के	ेज	ज_	
कि	िय	या	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ला	ाइ	इव	व_	__	
टी	ीव	वी	ी_	__	
-_	__	__	__	__	
यह	ह_	__	__	__	
इस	स_	__	__	__	
एप	प्	्प	प_	__	
के	े_	__	__	__	
इस	स्	्त	ते	ेम	
कर	रन	ने	े_	__	
और	र_	__	__	__	
उस	सक	के	े_	__	
लि	िए	ए_	__	__	
भु	ुग	गत	ता	ान	
कर	रन	ने	े_	__	
के	े_	__	__	__	
पू	ूर	रे	े_	__	
का	ाम	म_	__	__	
का	ा_	__	__	__	
मे	ेन	न_	__	__	
प्	्व	वॉ	ॉइ	इं	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
यह	ह_	__	__	__	
बत	ता	ात	ते	े_	
हु	ुए	ए_	__	__	
मु	ुझ	झे	े_	__	
बह	हु	ुत	त_	__	
खु	ुश	शी	ी_	__	
हो	ो_	__	__	__	
रह	ही	ी_	__	__	
है	ै_	__	__	__	
कि	ि_	__	__	__	
इस	सक	का	ा_	__	
अन	नु	ुभ	भव	व_	
बह	हु	ुत	त_	__	
ही	ी_	__	__	__	
अच	च्	्छ	छा	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	पक	को	ो_	__	
बस	स_	__	__	__	
एक	क_	__	__	__	
अच	च्	्छ	छी	ी_	
स्	्प	पी	ीड	ड_	
पर	र_	__	__	__	
एक	क_	__	__	__	
वा	ार	र्	्इ	इफ	
या	ा_	__	__	__	
3ज	जी	ी_	__	__	
कन	ने	ेक	क्	्श	
की	ी_	__	__	__	
जर	रू	ूर	रत	त_	
हो	ोत	ती	ी_	__	
है	ै_	__	__	__	
और	र_	__	__	__	
स्	्ट	ट्	्र	री	
क्	्व	वा	ाल	लि	
भी	ी_	__	__	__	
अच	च्	्छ	छी	ी_	
हो	ोत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

डि	िट	टे	ेक	क्	
बै	ैं	ंड	डव	वि	
के	े_	__	__	__	
अन	नु	ुस	सा	ार	
,_	__	__	__	__	
क्	्व	वा	ाल	लि	
को	ो_	__	__	__	
ऑट	टो	ोम	मै	ैट	
मै	ैन	ने	ेज	ज_	
कि	िय	या	ा_	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कि	िस	सी	ी_	__	
स्	्म	मा	ार	र्	
या	ा_	__	__	__	
टै	ैब	बल	ले	ेट	
के	े_	__	__	__	
मा	ाम	मल	ले	े_	
मे	ें	ं_	__	__	
,_	__	__	__	__	
यह	ह_	__	__	__	
स्	्ट	ट्	्र	री	
के	े_	__	__	__	
लि	िए	ए_	__	__	
जर	रू	ूर	रत	त_	
से	े_	__	__	__	
ज्	्य	या	ाद	दा	
की	ी_	__	__	__	
क्	्व	वा	ाल	लि	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

8_	__	__	__	__	
एम	मब	बी	ीप	पी	
वा	ार	र्	्इ	इफ	
कन	ने	ेक	क्	्श	
पर	र_	__	__	__	
स्	्ट	ट्	्र	री	
बह	हु	ुत	त_	__	
सह	ही	ी_	__	__	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

लॉ	ॉन	न्	्च	च_	
के	े_	__	__	__	
सम	मय	य_	__	__	
,_	__	__	__	__	
एय	यर	रट	टे	ेल	
पॉ	ॉक	के	ेट	ट_	
टी	ीव	वी	ी_	__	
सर	र्	्व	वि	िस	
पर	र_	__	__	__	
15	50	0_	__	__	
चै	ैन	नल	ल_	__	
दे	े_	__	__	__	
रह	हा	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

टा	ाट	टा	ा_	__	
स्	्क	का	ार	र्	
के	े_	__	__	__	
एव	वर	री	ीह	ह्	
और	र_	__	__	__	
डि	िश	श_	__	__	
टी	ीव	वी	ी_	__	
के	े_	__	__	__	
डि	िश	श_	__	__	
ऑन	न_	__	__	__	
ला	ाइ	इन	न_	__	
सर	र्	्व	वि	िस	
के	े_	__	__	__	
मु	ुक	का	ाब	बल	
,_	__	__	__	__	
यह	ह_	__	__	__	
बह	हु	ुत	त_	__	
अध	धि	िक	क_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एय	यर	रट	टे	ेल	
पॉ	ॉक	के	ेट	ट_	
टी	ीव	वी	ी_	__	
सर	र्	्व	वि	िस	
मे	ें	ं_	__	__	
अभ	भी	ी_	__	__	
तक	क_	__	__	__	
उस	सक	के	े_	__	
एप	प्	्प	प_	__	
पर	र_	__	__	__	
को	ोर	र्	्इ	इ_	
भी	ी_	__	__	__	
स्	्प	पो	ोर	र्	
चै	ैन	नल	ल_	__	
उप	पल	लब	ब्	्ध	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
और	र_	__	__	__	
यह	ह_	__	__	__	
उस	सक	के	े_	__	
लि	िए	ए_	__	__	
खा	ास	स_	__	__	
नु	ुक	कस	सा	ान	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

टा	ाट	टा	ा_	__	
स्	्क	का	ार	र्	
और	र_	__	__	__	
डि	िश	श_	__	__	
टी	ीव	वी	ी_	__	
दो	ोन	नो	ों	ं_	
कु	ुछ	छ_	__	__	
खा	ास	स_	__	__	
स्	्प	पो	ोर	र्	
चै	ैन	नल	ल_	__	
दे	ेत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एय	यर	रट	टे	ेल	
पॉ	ॉक	के	ेट	ट_	
टी	ीव	वी	ी_	__	
एप	प्	्प	प_	__	
पर	र_	__	__	__	
ऑन	न_	__	__	__	
-J	JO	OI	IN	N_	
डि	िम	मा	ां	ंड	
सर	र्	्व	वि	िस	
अल	लग	ग_	__	__	
-J	JO	OI	IN	N_	
अल	लग	ग_	__	__	
तर	रह	ह_	__	__	
के	े_	__	__	__	
मू	ूव	वी	ीज	ज_	
की	ी_	__	__	__	
ला	ाइ	इब	ब्	्र	
दे	ेत	ती	ी_	__	
है	ै_	__	__	__	
और	र_	__	__	__	
वह	ह_	__	__	__	
बि	िग	गफ	फ्	्ल	
द्	्व	वा	ार	रा	
पा	ाव	वर	र्	्ड	
हो	ोत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

और	र_	__	__	__	
इस	सक	का	ा_	__	
सब	बस	से	े_	__	
अच	च्	्छ	छा	ा_	
भा	ाग	ग_	__	__	
यह	ह_	__	__	__	
है	ै_	__	__	__	
कि	ि_	__	__	__	
मू	ूव	वी	ीज	ज_	
की	ी_	__	__	__	
पू	ूर	री	ी_	__	
ला	ाइ	इब	ब्	्र	
को	ो_	__	__	__	
बि	िन	ना	ा_	__	
कि	िस	सी	ी_	__	
अत	ति	िर	रि	िक	
चा	ार	र्	्ज	ज_	
के	े_	__	__	__	
स्	्ट	ट्	्र	री	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

60	0_	__	__	__	
रू	ूप	पय	ये	े_	
प्	्र	रत	ति	ि_	
मा	ाह	ह_	__	__	
मे	ें	ं_	__	__	
ला	ाइ	इव	व_	__	
टी	ीव	वी	ी_	__	
स्	्ट	ट्	्र	री	
और	र_	__	__	__	
ऑन	न_	__	__	__	
-J	JO	OI	IN	N_	
डि	िम	मा	ां	ंड	
से	ेक	क्	्श	शन	
मे	ें	ं_	__	__	
उप	पल	लब	ब्	्ध	
एक	क_	__	__	__	
मै	ैस	सि	िव	व_	
मू	ूव	वी	ी_	__	
ला	ाइ	इब	ब्	्र	
,_	__	__	__	__	
यह	ह_	__	__	__	
बु	ुर	रा	ा_	__	
सौ	ौद	दा	ा_	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बि	िल	ल्	्क	कु	
र्	्इ	इम	मा	ान	
से	े_	__	__	__	
,_	__	__	__	__	
टी	ीव	वी	ी_	__	
दे	ेख	खन	ने	े_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
आप	पक	के	े_	__	
स्	्म	मा	ार	र्	
को	ो_	__	__	__	
एक	क_	__	__	__	
वै	ैक	कल	ल्	्प	
स्	्क	क्	्र	री	
बन	ना	ाक	कर	र_	
एय	यर	रट	टे	ेल	
पॉ	ॉक	के	ेट	ट_	
टी	ीव	वी	ी_	__	
,_	__	__	__	__	
ढे	ेर	र_	__	__	
सा	ार	री	ी_	__	
फ्	्ल	ले	ेक	क्	
और	र_	__	__	__	
सु	ुव	वि	िध	धा	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
प्	्ल	ले	ेट	टफ	
पर	र_	__	__	__	
अभ	भी	ी_	__	__	
तक	क_	__	__	__	
एच	चड	डी	ी_	__	
चै	ैन	नल	ल्	्स	
उप	पल	लब	ब्	्ध	
नह	ही	ीं	ं_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बै	ैं	ंड	डव	वि	
कॉ	ॉस	स्	्ट	ट_	
को	ो_	__	__	__	
कम	म_	__	__	__	
कर	रन	ना	ा_	__	
शा	ाय	यद	द_	__	
उस	सक	का	ा_	__	
का	ार	रण	ण_	__	
हो	ो_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
एक	क_	__	__	__	
नय	या	ा_	__	__	
हि	िस	स्	्स	सा	
है	ै_	__	__	__	
जि	िस	से	े_	__	
हम	म_	__	__	__	
पू	ूर	र्	्व	वा	
भव	वि	िष	ष्	्य	
के	े_	__	__	__	
लि	िए	ए_	__	__	
जा	ार	री	ी_	__	
रख	खन	ना	ा_	__	
चा	ाह	हत	ते	े_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एप	प्	्प	प_	__	
मू	ूल	लत	तः	ः_	
आप	पक	के	े_	__	
शह	हर	र_	__	__	
के	े_	__	__	__	
का	ार	र्	्य	यक	
की	ी_	__	__	__	
एक	क_	__	__	__	
क्	्य	यू	ूर	रे	
सू	ूच	ची	ी_	__	
ला	ात	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
आप	पक	को	ो_	__	
एप	प्	्प	प_	__	
के	े_	__	__	__	
जर	रि	िय	ये	े_	
टि	िक	कट	ट_	__	
बु	ुक	क_	__	__	
कर	रन	ने	े_	__	
की	ी_	__	__	__	
सु	ुव	वि	िध	धा	
प्	्र	रद	दा	ान	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इं	ंस	स्	्ट	टा	
पर	र_	__	__	__	
वि	िश	शे	ेष	ष_	
छू	ूट	ट_	__	__	
भी	ी_	__	__	__	
मि	िल	ले	ेग	गी	
।_	__	__	__	__	
EO	OL	L_	__	__	

‘_	__	__	__	__	
सा	ाइ	इन	न_	__	
ईज	जी	ी_	__	__	
एप	प_	__	__	__	
’_	__	__	__	__	
आप	पक	के	े_	__	
फो	ोन	न_	__	__	
या	ा_	__	__	__	
टै	ैब	बल	ले	ेट	
पर	र_	__	__	__	
अप	पन	ने	े_	__	
डि	िज	जि	िट	टल	
डॉ	ॉक	क्	्य	यू	
को	ो_	__	__	__	
डि	िज	जि	िट	टल	
सा	ाइ	इन	न_	__	
कर	र_	__	__	__	
सक	कन	ने	े_	__	
की	ी_	__	__	__	
आज	जा	ाद	दी	ी_	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
एप	प_	__	__	__	
की	ी_	__	__	__	
मद	दद	द_	__	__	
से	े_	__	__	__	
आप	प_	__	__	__	
अप	पन	ने	े_	__	
हस	स्	्त	ता	ाक	
को	ो_	__	__	__	
रज	जि	िस	स्	्ट	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	के	े_	__	
बा	ाद	द_	__	__	
आई	ईफ	फो	ोन	न_	
5ए	एस	स_	__	__	
पर	र_	__	__	__	
फि	िं	ंग	गप	प्	
से	ें	ंस	सर	र_	
का	ा_	__	__	__	
उप	पय	यो	ोग	ग_	
कर	र_	__	__	__	
इस	से	े_	__	__	
डॉ	ॉक	क्	्य	यू	
पर	र_	__	__	__	
हस	स्	्त	ता	ां	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कॉ	ॉर	र्	्प	पो	
वर	र्	्ल	ल्	्ड	
मे	ें	ं_	__	__	
डो	ोक	क्	्य	यू	
को	ो_	__	__	__	
डि	िज	जि	िट	टल	
हस	स्	्त	ता	ाक	
कर	रन	ना	ा_	__	
को	ोई	ई_	__	__	
बड़	ड़ी	ी_	__	__	
या	ा_	__	__	__	
नई	ई_	__	__	__	
बा	ात	त_	__	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
ले	ेक	कि	िन	न_	
जि	ित	तन	ना	ा_	
आस	सा	ान	न_	__	
डि	िज	जि	िट	टल	
हस	स्	्त	ता	ाक	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
डॉ	ॉक	क्	्य	यू	
को	ो_	__	__	__	
प्	्र	रम	मा	ाण	
कर	रन	ने	े_	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
कह	हन	ना	ा_	__	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
उत	तन	ना	ा_	__	
आस	सा	ान	न_	__	
यह	ह_	__	__	__	
डि	िज	जि	िट	टल	
हस	स्	्त	ता	ाक	
कर	रन	ना	ा_	__	
सं	ंभ	भव	व_	__	
नह	ही	ीं	ं_	__	
हो	ो_	__	__	__	
पा	ात	ता	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

‘_	__	__	__	__	
